,time,train_coeff_0_mean_squared_error,train_coeff_1_mean_squared_error,train_coeff_2_mean_squared_error,train_coeff_3_mean_squared_error,valid_coeff_0_mean_squared_error,valid_coeff_1_mean_squared_error,valid_coeff_2_mean_squared_error,valid_coeff_3_mean_squared_error,learning_rate
24,21:53:02 2019-06-02,0.2819471061229706,0.050351317971944816,0.3633453845977783,0.5195773243904114,0.018597304821014404,0.046798363327980035,0.4955034255981445,0.5070939660072327,0.0001
25,21:53:03 2019-06-02,0.20666293799877167,0.1778547614812851,1.2005149126052856,0.703366756439209,0.020964551717042926,0.0363461971282959,0.5765993595123291,0.5667816996574402,0.0001
26,21:53:03 2019-06-02,0.2573907971382141,0.13429060578346252,0.17777536809444427,0.3897759020328522,0.028306419029831886,0.0038687395863235,0.04594621807336807,0.14954622089862826,0.0001
27,21:53:04 2019-06-02,0.32568156719207764,0.16669733822345734,0.7170486450195312,0.2832947075366974,0.03257947787642479,0.012793517671525478,0.3337505459785461,0.03073927387595177,0.0001
28,21:53:05 2019-06-02,0.1179300919175148,0.2776935398578644,0.2923204004764557,0.15620939433574674,0.0767495185136795,0.08026000112295151,0.07841362059116364,0.05030178651213646,5e-05
29,21:53:05 2019-06-02,0.2632134556770325,0.16385705769062042,0.3481416702270508,0.20087717473506927,0.051412202417850494,0.06873223185539246,0.10886159539222716,0.03061543405056,5e-05
30,21:53:38 2019-06-02,0.0954415276646614,0.1893657892942429,0.5260348320007324,1.0101639032363892,0.08047250658273697,0.08198375999927521,0.012616110034286976,0.04661685228347778,0.0001
31,21:53:39 2019-06-02,0.04602544009685517,0.27421295642852783,0.1586054116487503,0.8412684798240662,0.0007233548676595093,0.015699611976742744,0.15695741772651672,0.7026283740997314,0.0001
32,21:53:40 2019-06-02,0.19508467614650726,0.26996472477912903,0.3719511926174164,0.16232174634933472,0.010121253319084644,0.07144603133201599,0.33756259083747864,0.10186521708965304,0.0001
33,21:53:40 2019-06-02,0.2790126800537109,0.11937884241342545,1.4755064249038696,0.5625311732292175,0.09070270508527756,0.013085572980344296,0.2464403361082077,0.138683021068573,0.0001
34,21:53:41 2019-06-02,0.2819471061229706,0.050351317971944816,0.3633453845977783,0.5195773243904114,0.018597304821014404,0.046798363327980035,0.4955034255981445,0.5070939660072327,0.0001
35,21:53:42 2019-06-02,0.20666293799877167,0.1778547614812851,1.2005149126052856,0.703366756439209,0.020964551717042926,0.0363461971282959,0.5765993595123291,0.5667816996574402,0.0001
36,21:53:42 2019-06-02,0.2573907971382141,0.13429060578346252,0.17777536809444427,0.3897759020328522,0.028306419029831886,0.0038687395863235,0.045946218073368066,0.14954622089862826,0.0001
37,21:53:43 2019-06-02,0.32568156719207764,0.16669733822345734,0.7170486450195312,0.2832947075366974,0.03257947787642479,0.012793517671525478,0.3337505459785461,0.03073927387595177,0.0001
38,21:53:44 2019-06-02,0.1179300919175148,0.2776935398578644,0.2923204004764557,0.15620939433574674,0.0767495185136795,0.08026000112295151,0.07841362059116364,0.05030178651213646,5e-05
39,21:53:44 2019-06-02,0.2632134556770325,0.16385705769062042,0.3481416702270508,0.20087717473506927,0.051412202417850494,0.06873223185539246,0.10886159539222716,0.03061543405056,5e-05
40,21:53:45 2019-06-02,0.2013705372810364,0.04283760488033295,0.7129842638969421,0.10060181468725203,0.02783148922026157,0.01904872618615628,0.15629802644252774,0.1357840895652771,5e-05
41,21:53:45 2019-06-02,0.3720388114452362,0.14522460103034973,0.5922458171844482,0.03723050281405449,0.14438612759113312,0.01344293076545,0.07944366335868835,0.10689748823642732,5e-05
42,21:53:46 2019-06-02,0.20145295560359955,0.08384176343679428,0.1943347305059433,0.19316338002681727,0.035165470093488686,0.015017571859061718,0.0028751427307724953,0.135894775390625,5e-05
43,21:53:47 2019-06-02,0.1146579384803772,0.12001430243253708,0.13893117010593414,0.19299352169036865,0.07839502394199371,0.02066084742546081,0.005564922466874123,0.08375218510627748,5e-05
44,21:53:47 2019-06-02,0.7508172988891602,0.17083044350147247,0.13425008952617645,0.2936052978038788,0.2450722157955169,0.04640397429466248,0.0038032880984246726,0.04760078340768814,5e-05
45,21:53:48 2019-06-02,0.3182801902294159,0.1889645904302597,0.1908442825078964,0.2639288008213043,0.006159485783427954,0.0770091786980629,0.048738785088062286,0.1988627016544342,5e-05
46,21:53:49 2019-06-02,0.1465667337179184,0.19396276772022247,0.3449141979217529,0.1073468029499054,0.01796240173280239,0.08224910497665405,0.05967116728425026,0.16088558733463287,2.5e-05
47,21:53:49 2019-06-02,0.06380198150873184,0.08378127962350845,0.0612705759704113,0.1953163594007492,0.023547209799289703,0.11762207746505735,0.02321318164467812,0.08001086115837097,2.5e-05
48,21:53:50 2019-06-02,0.1335306018590927,0.15720069408416748,0.05356660857796669,0.2078607082366944,0.005520328879356384,0.11703412234783173,0.0034071877598762512,0.04089156538248062,2.5e-05
49,21:53:50 2019-06-02,0.17788243293762207,0.19264841079711914,0.12282489985227585,0.030470378696918488,0.016563810408115387,0.05188369005918503,0.010917909443378448,0.02044200152158737,2.5e-05
50,21:53:51 2019-06-02,0.08478334546089172,0.1241476759314537,0.05613965168595314,0.07393763214349748,0.02796120569109917,0.021494464948773384,0.017434611916542053,0.012806267477571964,2.5e-05
51,21:53:52 2019-06-02,0.0769658014178276,0.1512131690979004,0.0555013082921505,0.35946452617645264,0.0077476860024034986,0.02080366760492325,0.01609792187809944,0.012463049963116646,2.5e-05
52,21:53:52 2019-06-02,0.14275740087032318,0.04939527437090874,0.11921856552362442,0.07597506791353226,0.012066454626619816,0.02998640015721321,0.003927274141460657,0.014236392453312876,2.5e-05
53,21:53:53 2019-06-02,0.08593662828207016,0.07603180408477782,0.1930791735649109,0.05810750648379327,0.01887774094939232,0.07363997399806976,0.004299897700548172,0.02378627099096775,2.5e-05
54,21:53:54 2019-06-02,0.20120756328105927,0.07843371480703354,0.10732755810022354,0.15924930572509766,0.014220215380191803,0.06902007013559341,0.0056271497160196296,0.023987574502825737,1.25e-05
55,21:53:54 2019-06-02,0.06446027010679245,0.29400670528411865,0.03150730952620506,0.00591382896527648,0.007982385344803333,0.04274623095989226,0.003560960525646805,0.01831863448023796,1.25e-05
56,21:53:55 2019-06-02,0.0944344475865364,0.05835789442062377,0.08691731840372086,0.24658043682575226,0.0070791258476674565,0.03129580616950989,0.004151896107941866,0.019165797159075737,1.25e-05
57,21:53:56 2019-06-02,0.12094216793775554,0.08925816416740417,0.08651485294103622,0.042709123343229294,0.02193144336342812,0.030433334410190582,0.005377505905926229,0.024934150278568268,1.25e-05
58,21:53:56 2019-06-02,0.10338470339775084,0.060152430087327964,0.13984452188014984,0.04431569203734398,0.04413483291864395,0.034279704093933105,0.005281451623886825,0.03121596574783325,1.25e-05
59,21:53:57 2019-06-02,0.011779226362705229,0.08337099105119705,0.04657955840229988,0.07267020642757416,0.0410117581486702,0.048703610897064216,0.006261346861720085,0.04281266033649445,1.25e-05
60,21:53:57 2019-06-02,0.12289585918188095,0.19576270878314966,0.15742099285125732,0.15316295623779294,0.02490067481994629,0.05765780061483384,0.006979523226618767,0.05182240903377533,1.25e-05
61,21:53:58 2019-06-02,0.07218550890684128,0.06584450602531433,0.05604447051882744,0.16048455238342285,0.012724846601486206,0.0552557036280632,0.0085106510668993,0.05783895403146744,1.25e-05
62,21:53:59 2019-06-02,0.09277672320604324,0.11131932586431503,0.1430366188287735,0.11986315250396727,0.008650017902255058,0.05378342419862747,0.009413701482117176,0.05309413373470306,6.25e-06
63,21:53:59 2019-06-02,0.031124189496040344,0.10814405232667924,0.18323774635791776,0.15588635206222534,0.0056536239571869365,0.0485764741897583,0.007825920358300209,0.04451468586921692,6.25e-06
64,21:54:00 2019-06-02,0.11152616888284683,0.1197402849793434,0.05467972531914711,0.1998426914215088,0.005138500593602657,0.0412679947912693,0.008317634463310242,0.035418275743722916,6.25e-06
65,21:54:01 2019-06-02,0.06875773519277573,0.06268320977687836,0.15848611295223236,0.28114089369773865,0.006525928154587746,0.039885200560092926,0.008755462244153023,0.02354045212268829,6.25e-06
66,21:54:01 2019-06-02,0.06709948927164078,0.024861907586455345,0.13271856307983398,0.10813331604003906,0.009445164352655407,0.04367322474718094,0.0059969183057546616,0.01891091465950012,6.25e-06
67,21:54:02 2019-06-02,0.1360437124967575,0.10985692590475082,0.044147860258817666,0.21295861899852755,0.009076492860913277,0.0449175201356411,0.005407998804003,0.015954991802573204,6.25e-06
